,Sample,Timestamp,CLE,Unique,Duplicate,nth Duplicate,First use
0,81,204001,02,0000259C2E,,,
1,121,311138,03,B02363443D,,,
2,244,577404,02,0000259E2E,,,
3,406,1170970,03,000063463D,,,
4,517,1471373,03,000060443D,,,
5,609,1681288,03,00008B3E45,,,
6,703,1912787,03,0000883C45,,,
7,724,1984182,01,00000A1B57,,,
8,835,2300539,01,00000B1957,,,
9,946,2684194,01,D811597966,,,
10,1061,2987535,01,0000597B66,,,
11,1134,3209234,02,00006EA176,,,
12,1181,3434174,01,00005A7966,,,
13,1308,3810924,02,00006EA376,,,
14,90946,331674473,02,0000005C5D,,,
15,91121,332430044,02,0000005E5D,,,
16,91589,333193344,03,,0000005C5D,1,[14]
17,91713,333754932,03,,0000005E5D,1,[15]
18,91825,334043958,02,0000003072,,,
19,91910,334412990,02,0000045C5D,,,
20,92109,334782310,02,0000003272,,,
21,92182,335058600,02,0000045E5D,,,
22,92393,335518314,03,,0000003072,1,[18]
23,92505,335812918,03,,0000045C5D,1,[19]
24,92617,336176934,03,,0000003272,1,[20]
25,92748,336623298,03,,0000045E5D,1,[21]
26,92757,336623767,02,0000043072,,,
27,93188,337439936,02,0000043272,,,
28,93344,337996559,03,,0000043072,1,[26]
29,93421,338304187,02,0000485C5D,,,
30,93600,338853821,03,,0000043272,1,[27]
31,93731,339406553,02,0000485E5D,,,
32,94158,339961604,03,,0000485C5D,1,[29]
33,94395,340147655,02,0000483072,,,
34,94678,340447281,03,,0000485E5D,1,[31]
35,94759,340604071,02,0000483272,,,
36,94953,341177178,02,0000BC5C5D,,,
37,94962,341177647,03,,0000483072,1,[33]
38,95348,341802206,02,0000BC5E5D,,,
39,95377,341885807,03,,0000483272,1,[35]
40,95820,342532338,03,,0000BC5C5D,1,[36]
41,95905,342707391,02,0000BC3072,,,
42,96080,343241600,03,,0000BC5E5D,1,[38]
43,96192,343569192,02,0000BC3272,,,
44,96348,344012452,03,,0000BC3072,1,[41]
45,96460,344317894,03,,0000BC3272,1,[43]
46,96572,344617254,02,0000C05C5D,,,
47,96786,345543873,02,0000C05E5D,,,
48,96855,345740505,02,0000C03072,,,
49,97289,346285889,03,,0000C05C5D,1,[46]
50,97298,346286358,02,0000C03272,,,
51,97721,347087386,03,,0000C05E5D,1,[47]
52,97758,347156029,03,,0000C03072,1,[48]
53,97932,347731144,02,0000045D5D,,,
54,97941,347731613,03,,0000C03272,1,[50]
55,98400,348622490,02,0000045F5D,,,
56,98489,348821992,02,0000043172,,,
57,98703,349541584,03,,0000045D5D,1,[53]
58,98712,349542053,02,0000043372,,,
59,99062,350009739,03,,0000045F5D,1,[55]
